event_id,building_name,full_address,address_id
338,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
339,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
340,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
341,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
342,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
343,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
344,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
345,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
346,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
347,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
348,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
349,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
350,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
351,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
352,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
353,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
354,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
355,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
356,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
357,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
358,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
359,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
360,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
361,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
362,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
335,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
2018,View Street Social,"View Street Social, 753 View St, Victoria, BC V8W 2H6",12667
2024,View Street Social,"View Street Social, 753 View St, Victoria, BC V8W 2H6",12667
2025,Wheelies Motorcyles,"Wheelies Motorcyles, 2620 Rock Bay Ave, Victoria, BC V8T 4R9",12668
2257,Willows Beach Park,"Willows Beach Park, 2740 Dalhousie St., Victoria, BC",12669
2258,Willows Beach Park,"Willows Beach Park, 2740 Dalhousie St., Victoria, BC",12669
2387,Willows Beach Park,"Willows Beach Park, 2740 Dalhousie St., Victoria, BC",12669
2396,Willows Beach Park,"Willows Beach Park, 2740 Dalhousie St., Victoria, BC",12669
2411,Willows Beach Park,"Willows Beach Park, 2740 Dalhousie St., Victoria, BC",12669
2422,Willows Beach Park,"Willows Beach Park, 2740 Dalhousie St., Victoria, BC",12669
2447,Willows Beach Park,"Willows Beach Park, 2740 Dalhousie St., Victoria, BC",12669
2464,Willows Beach Park,"Willows Beach Park, 2740 Dalhousie St., Victoria, BC",12669
